isWon;countHitChances;countTokenInHome;countTokenInStart;countComingOut;turnCount
0;68;0;1;27;1352
1;52;4;0;14;827
0;81;0;3;30;1660
1;41;4;0;9;607
0;37;0;2;18;795
1;47;4;0;13;834
0;50;0;1;17;1057
1;51;4;0;16;953
0;55;0;3;21;995
0;56;0;3;19;1229
0;65;3;0;24;1185
0;42;3;0;14;1083
0;78;3;0;29;1370
1;65;4;0;20;1353
0;73;0;1;24;1236
0;46;2;0;14;680
0;49;3;0;21;1182
0;84;3;0;29;1361
1;57;4;0;21;970
0;88;0;1;35;1614
1;42;4;0;11;646
0;44;0;2;18;858
1;62;4;0;18;1099
0;106;0;3;42;1835
1;40;4;0;14;1076
0;82;0;1;32;1340
1;47;4;0;12;927
0;81;0;1;32;1471
0;72;3;0;20;1508
1;58;4;0;20;1151
0;39;0;2;18;813
1;33;4;0;6;579
0;96;0;3;33;2011
1;43;4;0;13;915
0;114;0;1;39;1877
1;61;4;0;22;1092
0;85;0;2;26;1480
1;86;4;0;28;1711
0;112;0;3;40;1625
1;29;4;0;8;494
0;71;0;2;28;1263
1;69;4;0;16;1234
0;110;0;2;43;2316
1;79;4;0;18;1682
0;87;0;2;31;1653
0;64;3;0;16;1264
1;37;4;0;12;498
0;69;0;2;23;1130
1;67;4;0;17;1045
0;62;0;3;25;1458
1;90;4;0;30;2131
0;69;0;2;28;1541
0;31;1;1;12;666
0;92;2;0;31;1678
1;63;4;0;13;1031
0;68;0;2;26;1288
0;83;3;0;27;1304
0;50;1;2;19;948
1;45;4;0;14;1050
0;46;0;3;14;912
1;35;4;0;9;790
0;116;0;3;44;2226
1;69;4;0;20;1202
0;98;0;1;38;1743
0;75;3;0;23;1419
1;47;4;0;13;728
